--- LOC REPORT ---
CAPA       | CLASE                          | N LINEAS   | BLANK      | COMMENT    | LOC  
DATOS      | models/EstadoHabitacion.php    | get_estado_habitacion_x_id          | 2    
DATOS      | models/EstadoHabitacion.php    | delete_estado_habitacion            | 2    
DATOS      | models/EstadoHabitacion.php    | insert_estado_habitacion            | 2    
DATOS      | models/EstadoHabitacion.php    | update_estado_habitacion            | 3    
DATOS      | models/EstadoHabitacion.php    | verificar_estado_habitacion_existe  | 5    
DATOS      | models/EstadoHabitacion.php    | cambiar_estado_estado_habitacion    | 3    
DATOS      | models/Factura.php             | __construct                         | 1    
DATOS      | models/Factura.php             | initGreenter                        | 2    
DATOS      | models/Factura.php             | setUsuarioId                        | 1    
DATOS      | models/Factura.php             | setMetodoPago                       | 1    
DATOS      | models/Factura.php             | generarFactura                      | 16   
DATOS      | models/Factura.php             | calcularTotales                     | 4    
DATOS      | models/Factura.php             | obtenerSiguienteCorrelativo         | 2    
DATOS      | models/Factura.php             | extraerHashDelXML                   | 4    
DATOS      | models/Factura.php             | guardarFacturaCompleta              | 58   
DATOS      | models/Factura.php             | guardarXMLEnStorage                 | 5    
DATOS      | models/Factura.php             | guardarCDREnStorage                 | 5    
DATOS      | models/Factura.php             | generarPDF                          | 15   
DATOS      | models/Factura.php             | guardarPDFEnStorage                 | 5    
DATOS      | models/Factura.php             | numeroALetras                       | 1    
DATOS      | models/Factura.php             | descargarXML                        | 7    
DATOS      | models/Factura.php             | obtenerClienteDeRecepcion           | 12   
DATOS      | models/Factura.php             | obtenerDetallesRecepcion            | 7    
DATOS      | models/Factura.php             | obtenerPorRecepcion                 | 2    
DATOS      | models/Habitacion.php          | get_habitacion                      | 1    
DATOS      | models/Habitacion.php          | get_habitacion_activa               | 1    
DATOS      | models/Habitacion.php          | get_habitacion_ocupada              | 1    
DATOS      | models/Habitacion.php          | get_habitacion_x_hab_id             | 2    
DATOS      | models/Habitacion.php          | delete_habitacion                   | 2    
DATOS      | models/Habitacion.php          | insert_habitacion                   | 6    
DATOS      | models/Habitacion.php          | update_habitacion                   | 7    
DATOS      | models/Habitacion.php          | verificar_habitacion_existente      | 5    
DATOS      | models/Habitacion.php          | cambiar_estado_habitacion           | 3    
DATOS      | models/Habitacion.php          | cambiar_tipo_estado_habitacion      | 3    
DATOS      | models/Habitacion.php          | get_habitacion_x_piso               | 2    
DATOS      | models/Menu.php                | get_menu_x_rol_id                   | 2    
DATOS      | models/Menu.php                | insert_menu_detalle_x_rol_id        | 2    
DATOS      | models/Menu.php                | update_menu_habilitar               | 2    
DATOS      | models/Menu.php                | update_menu_deshabilitar            | 2    
DATOS      | models/Menu.php                | get_tipo_usuario_descripcion        | 3    
DATOS      | models/Piso.php                | get_piso                            | 1    
DATOS      | models/Piso.php                | get_piso_activo                     | 1    
DATOS      | models/Piso.php                | get_piso_x_piso_id                  | 2    
DATOS      | models/Piso.php                | delete_piso                         | 2    
DATOS      | models/Piso.php                | insert_piso                         | 2    
DATOS      | models/Piso.php                | update_piso                         | 3    
DATOS      | models/Piso.php                | verificar_piso_existente            | 5    
DATOS      | models/Piso.php                | cambiar_estado_piso                 | 3    
DATOS      | models/Producto.php            | get_producto                        | 1    
DATOS      | models/Producto.php            | get_producto_activo                 | 1    
DATOS      | models/Producto.php            | get_producto_x_id                   | 2    
DATOS      | models/Producto.php            | delete_producto                     | 2    
DATOS      | models/Producto.php            | insert_producto                     | 5    
DATOS      | models/Producto.php            | update_producto                     | 6    
DATOS      | models/Producto.php            | verificar_producto_existente        | 5    
DATOS      | models/Producto.php            | cambiar_estado_producto             | 3    
DATOS      | models/Recepcion.php           | insert_recepcion                    | 9    
DATOS      | models/Recepcion.php           | listar_ocupaciones_activas          | 1    
DATOS      | models/Recepcion.php           | get_recepcion_activa_por_habitacion | 3    
DATOS      | models/Recepcion.php           | get_recepcion_x_id                  | 2    
DATOS      | models/Recepcion.php           | confirmar_salida                    | 7    
DATOS      | models/Recepcion.php           | cliente_tiene_recepcion_activa      | 2    
DATOS      | models/Recepcion.php           | get_historial_por_cliente           | 2    
DATOS      | models/Reporte.php             | obtenerReporteVentas                | 2    
DATOS      | models/Reporte.php             | obtenerResumenVentas                | 8    
DATOS      | models/Reporte.php             | obtenerListaVentas                  | 4    
DATOS      | models/Reporte.php             | obtenerDatosGrafico                 | 13   
DATOS      | models/Reporte.php             | obtenerTopProductos                 | 4    
DATOS      | models/Reporte.php             | obtenerVentasPorEmpleado            | 4    
DATOS      | models/Reporte.php             | obtenerReporteRecepciones           | 2    
DATOS      | models/Reporte.php             | obtenerResumenRecepciones           | 8    
DATOS      | models/Reporte.php             | obtenerListaRecepciones             | 4    
DATOS      | models/Reporte.php             | obtenerGraficoOcupacion             | 13   
